# Epoca,Train Loss,Train Acc,Valid Loss,Valid Acc,F1-score,Recall,Accuracy,Batch Size,Learning Rate
29,0.09463127977188739,0.9720670391061453,1.8634464237425061,0.6,0.5639678438128051,0.6302521008403361,0.6,32,0.001
30,0.04337551565476636,0.9860335195530726,9.966521093580457,0.33333333333333337,0.1979565772669221,0.35294117647058826,0.3333333333333333,32,0.001
31,0.20308877498057135,0.9664804469273743,84.9234747144911,0.17777777777777778,0.14444444444444446,0.16526610644257703,0.17777777777777778,32,0.001
32,0.10553245096566291,0.9748603351955307,1.3938913265864055,0.6888888888888889,0.5629738322328198,0.6666666666666666,0.6888888888888889,32,0.001
33,0.03276716992675259,0.9944134078212291,4.000926293267144,0.6888888888888889,0.5629738322328198,0.6666666666666666,0.6888888888888889,32,0.001
34,0.002838634767481152,1.0,5.292151345147027,0.6888888888888889,0.557487922705314,0.6666666666666666,0.6888888888888889,32,0.001
35,0.07875835009481154,0.9720670391061453,3.665215428670247,0.6888888888888889,0.5529271206690561,0.6666666666666666,0.6888888888888889,32,0.001
36,0.04442235395603673,0.9860335195530726,2.226593698395623,0.7333333333333334,0.7309603262884687,0.7436974789915967,0.7333333333333333,32,0.001
37,0.08642167943482959,0.9804469273743017,11.989845339457194,0.5111111111111112,0.4028985507246377,0.5098039215686274,0.5111111111111111,32,0.001
38,0.1411376902963654,0.9385474860335196,6.054551214641995,0.6444444444444445,0.5086625086625087,0.6274509803921569,0.6444444444444445,32,0.001
39,0.022430992523967887,0.9944134078212291,4.6995069927639435,0.7333333333333334,0.7098471986417657,0.7268907563025211,0.7333333333333333,32,0.001
40,0.0035684302901392594,1.0,1.739406536685096,0.8666666666666667,0.8689184060721061,0.8697478991596639,0.8666666666666667,32,0.001
41,0.21063625595568777,0.952513966480447,10.678528647952609,0.6888888888888889,0.5555555555555555,0.6666666666666666,0.6888888888888889,32,0.001
42,0.15427453583886835,0.9664804469273743,7.618090470631917,0.6888888888888889,0.5555555555555555,0.6666666666666666,0.6888888888888889,32,0.001
43,0.05114225635315453,0.9888268156424581,3.677526315053304,0.7111111111111111,0.5985754985754985,0.6904761904761904,0.7111111111111111,32,0.001
44,0.08019885857844486,0.9776536312849162,4.915898916456435,0.7333333333333334,0.6464590964590965,0.7142857142857143,0.7333333333333333,32,0.001
45,0.043614715764392686,0.9944134078212291,2.63961890273624,0.7777777777777778,0.7414163389395588,0.7661064425770308,0.7777777777777778,32,0.001
46,0.027203369511072863,0.9972067039106146,1.615585119360023,0.9333333333333333,0.927741935483871,0.9285714285714285,0.9333333333333333,32,0.001
47,0.008984563419564143,0.9972067039106146,1.0249952687157524,0.9111111111111111,0.9027777777777778,0.9047619047619048,0.9111111111111111,32,0.001
48,0.04041287050889441,0.9916201117318436,1.8654858907063803,0.888888888888889,0.8770311813790075,0.8809523809523809,0.8888888888888888,32,0.001
49,0.03754971951620872,0.9944134078212291,0.5214349548021953,0.9333333333333333,0.927741935483871,0.9285714285714285,0.9333333333333333,32,0.001
50,0.09037201638286674,0.9860335195530726,0.09829157590607387,0.9777777777777779,0.9761600681140911,0.9761904761904763,0.9777777777777777,32,0.001
